Date;Open;High;Low;Close;Adj Close;Volume
2010-10-03;4587.100098;4643.899902;4587.000000;4625.299805;4625.299805;0
2010-10-04;4612.799805;4620.600098;4559.200195;4606.899902;4606.899902;0
2010-10-05;4621.600098;4693.299805;4621.600098;4686.799805;4686.799805;0
2010-10-06;4689.799805;4697.299805;4668.299805;4691.299805;4691.299805;0
2010-10-07;4684.700195;4690.700195;4666.799805;4681.399902;4681.399902;0
2010-10-10;4686.799805;4713.000000;4686.799805;4697.500000;4697.500000;0
2010-10-11;4690.600098;4690.799805;4617.399902;4618.200195;4618.200195;0
2010-10-12;4626.299805;4656.799805;4619.600098;4619.899902;4619.899902;0
2010-10-13;4635.700195;4700.399902;4635.500000;4699.100098;4699.100098;0
2010-10-14;4691.500000;4696.299805;4660.600098;4689.000000;4689.000000;0
2010-10-17;4688.799805;4688.799805;4638.700195;4651.899902;4651.899902;0
2010-10-18;4658.299805;4681.899902;4655.700195;4655.700195;4655.700195;0
2010-10-19;4641.799805;4641.799805;4583.000000;4624.899902;4624.899902;0
2010-10-20;4636.700195;4661.399902;4622.000000;4622.899902;4622.899902;0
2010-10-21;4627.500000;4648.200195;4622.299805;4648.200195;4648.200195;0
2010-10-24;4644.399902;4725.899902;4641.100098;4710.000000;4710.000000;0
2010-10-25;4709.399902;4711.100098;4684.600098;4687.799805;4687.799805;0
2010-10-26;4684.799805;4698.000000;4641.000000;4648.100098;4648.100098;0
2010-10-27;4657.000000;4700.700195;4656.299805;4684.899902;4684.899902;0
2010-10-28;4689.299805;4691.700195;4655.600098;4661.600098;4661.600098;0
2010-10-31;4665.700195;4705.399902;4664.799805;4698.500000;4698.500000;753375400
2010-11-01;4696.100098;4706.500000;4676.700195;4701.399902;4701.399902;651733200
2010-11-02;4705.000000;4734.899902;4701.700195;4722.600098;4722.600098;0
2010-11-03;4716.500000;4756.899902;4715.100098;4745.299805;4745.299805;0
2010-11-04;4770.100098;4815.000000;4769.200195;4800.600098;4800.600098;0
2010-11-07;4802.299805;4810.500000;4774.500000;4778.399902;4778.399902;0
2010-11-08;4769.799805;4775.100098;4731.000000;4740.700195;4740.700195;0
2010-11-09;4740.899902;4753.799805;4686.100098;4699.799805;4699.799805;0
2010-11-10;4704.799805;4740.200195;4704.200195;4728.600098;4728.600098;0
2010-11-11;4728.000000;4732.399902;4681.600098;4692.700195;4692.700195;0
2010-11-14;4694.600098;4714.200195;4681.299805;4688.000000;4688.000000;0
2010-11-15;4697.799805;4709.500000;4670.500000;4700.299805;4700.299805;0
2010-11-16;4678.100098;4678.100098;4622.299805;4624.299805;4624.299805;0
2010-11-17;4624.399902;4644.100098;4612.000000;4640.200195;4640.200195;0
2010-11-18;4650.299805;4673.799805;4615.500000;4629.200195;4629.200195;0
